Farmland_L	Farmland_M	Farmland_H	Forest_L	Forest_M	Forest_H	Grassland_L	Grassland_M	Grassland_H	Wetland_L	Wetland_M	Wetland_H
0.97966844	0.89833365	0.78339157	1.04993327	0.80786892	0.64520495	0.92172417	1.34986803				0.76686523
0.97797156	0.87948962	0.6642598	0.98470741	0.75989064	0.52127962	0.88234493	1.53007061				0.79785247
0.97601912	0.8883807	0.63470212	1.04522932	0.71594079	1.02337531	0.91502366	1.24967145				0.76777808
0.97845476	0.88535039	0.67606964	0.99529375	0.67175184	1.19965304	0.91621957	1.35994163				0.91869417
0.97822998	0.88976141	0.77864402	0.96787569	0.96539711	0.95189702	0.93858312	1.24042258				0.93129546
0.97148632	0.89282477	0.79558208	0.86711946	0.91556128	1.18230041	0.86815552	1.35483794				0.8769409
0.97184592	0.89297284	0.80171813	1.05153674	0.72358734		0.93609491	1.29171857				0.93365537
0.97259489	0.88953483	0.77270399	1.01048885	0.96380553		0.89915262	1.37957691				0.91935495
0.97369525	0.88857073	0.77559345	1.01044525	0.75143054		0.93333063	1.24364565				1.13191054
0.96995707	0.86901825	0.79517714	0.96475686	1.20731232		0.90953792	1.26595168				0.93345048
0.97823411	0.88639433	0.82192733	0.94220423	0.79350128		0.91665977	1.35571354				1.14290668
0.96968428	0.81680242	0.84419154	1.12110588	1.02201295		0.88002396	0.82796378				0.93909887
0.93862099	0.48451676	0.79079627	1.1795268	1.00128601		0.905734	0.79951274				0.9439188
0.96512827	0.55628896	0.83843865	0.97496588	0.78606582		0.91315	0.79060207				1.19523809
0.96513405	0.56726934	0.7701783	0.97190844	1.10136122		0.92322883	0.79595408				1.17255512
0.96682367	0.52375996	0.69918106	0.94946328	0.99663938		0.91224696	0.79653815				1.42545834
0.96435074	0.52682594	0.62845568	0.9527258	0.77869994		0.87522531	0.77521004				1.14897189
0.96746198	0.50831335	0.6333106	0.96118394	0.87077124		0.83898553	1.06351905				1.01496602
0.96683686	0.6043048	0.89308699	0.94398334	0.89919257		0.83549038	0.87215315				1.16906901
0.928199	0.51575835	0.8982433	0.91631328	1.03276898		0.80658363	0.79008195				1.10655404
0.9239194	0.99987337	0.90954863	1.04895473	0.99914697		0.62811653	0.42513722				0.88822715
0.92426657	1.00167689	0.76411526	0.92432245	0.94895955		0.65863949	0.66055517				1.22387168
0.90917124	1.02511881	0.72260089	0.71283113	0.97501366		0.70935206					1.18749716
0.92859747	1.05386874	0.75951034	1.00677434	0.99536468		0.83516478					1.09874912
0.9572751	0.99737491	0.56583922	1.18100854	0.92288816		0.84612671					1.18524497
0.96286684	0.9747555	0.74094031	0.97375323	1.0013		0.84743796					1.17011816
0.96080065	1.06044977	0.88994685	1.04164862	1.00859591		0.83141553					1.13367715
0.95594693	0.97515424	0.92363058	1.08462027	0.95052806		0.80899001					1.08652825
0.96655463	1.00844745	0.63057057	1.17477032	0.90782391		0.84071379					1.32161043
0.95951905	1.00534651	0.6664924	0.98474139	1.00716817		0.82936125					1.38094431
0.94509072	1.15106865	0.65654662	0.98026231	0.98089252		0.85742293					0.8222319
0.96021415	0.97900411	0.64256679	1.00997871	1.20700228		0.8438398					1.1314714
0.96370059	0.97315032	0.89696379	1.04166193	1.0035292		0.85898107					1.33779049
0.9454594	0.98925604	0.94095142	0.92841376	1.05589267		0.84793747					
0.9808207	1.00665255	0.95091543	1.08223611	1.04310637		0.90230876					
0.97659281	1.19310504	0.89397047	0.82678323	1.00575302		0.78657681					
0.97770543	1.00151367	0.94097702	0.85468424	0.91940585		0.74419351					
0.97763765	0.98330637	0.94575895	0.83001593	1.03302924		0.77788913					
0.97661006	0.99811601	0.8844386	0.8580558	1.03355321		0.8626502					
0.97732628	1.03179561	0.9598418	0.84838462	1.038379		0.87286769					
0.96362079	1.20823143	0.95672856	0.88100155	1.0013402		0.87756913					
0.96256486	1.05039895	0.94874539	0.90264733	0.95652733		0.90712619					
0.7013275	1.04558929	0.92003367	0.79863229	1.04096814		0.89470831					
0.69647295	1.04170769	0.90681496	0.89343463	1.03519457		0.87189712					
0.68907774	1.01469698	0.57691259	0.82245119	1.23518221		0.89153199					
0.70634903	1.0432566	0.82082291	1.02626628	1.03378354		0.86712211					
0.70745383	1.00914263	0.81940126	1.03119747	0.93421084		0.90022908					
0.71365537	1.20125217	0.85857702	1.03298764	0.93246707		0.86949182					
0.88187296	0.99669022	0.87622441	0.88307205	0.97529259		0.89237072					
0.72767476	1.19884742	0.8692407	1.01026455	0.94382778		0.87597932					
0.67066693	0.944479	0.86637068	1.03697599	1.12597687		0.88497472					
0.85407824	1.00112713	0.78267802	0.98364193	0.9500338		0.87713103					
0.82728652	1.00921421	0.62039145	0.9759117	0.96606566		0.6019561					
0.81538735	1.00284679	0.66361208	0.9380001	0.98567434		0.89359475					
0.74693574	0.99902519	0.76501414	1.20146556	0.99595917		0.87155557					
0.77174974	1.00112594	0.77238087	1.03549806	1.00625774		0.88146102					
0.77319189	1.24476653	0.73144468	1.06582221	1.27078793		0.87529767					
0.77594129	1.02896725	0.73806702	0.99651691	1.01409713		0.88408462					
0.77868211	1.01632465	0.73798063	0.99803042	0.94104125		0.52536653					
0.91721989	1.07326297	0.77419664	1.00221617	1.00811335		0.87757925					
0.91689039	0.99346912	0.76845931	0.98217151	0.76694028		0.84603496					
0.9151261	1.17197596	0.77898208	0.99183636	0.99737325		0.90595199					
0.92203273	0.92906877	0.78062697	1.03349213	0.95379936		0.89694335					
0.92245284	0.93531071	0.76902725	0.97284372	0.92288818		0.90270369					
0.8554847	0.91952132	0.76610525	1.02951831	1.1303475		0.88591831					
0.91488635	0.92865901	0.75750014	1.00440911	1.00555924		0.86625378					
0.91601763	0.91914549	0.75489485	0.96719382	1.18390433		0.90231909					
0.86689108	0.91710668	0.73458463	0.90078647	0.69283178		0.88163082					
0.94304109	0.91047687	0.72803956	0.89365385	0.8757149		0.8429265					
0.9236235	0.90405427	0.70754974	0.93993058	0.91445579		0.85258361					
0.92956813	0.89796917	0.73818205	1.14081864	0.8313325		0.86694433					
0.9379199	0.91171869	0.76611616	1.00442684	0.76732181		0.85014673					
0.95092893	0.90514792	0.76414396	1.06061404	0.9013538		0.86798743					
0.93686028	0.89275601	0.73133031	1.02730065	0.66719476		0.88681311					
0.93034354	0.89089016	0.73694522	0.96628735	0.82677981		0.90332422					
0.92586894	0.89430241	0.77435168	0.99941403	1.23826613		0.89919618					
0.93684687	0.93561546	0.75509501	1.04805532	0.96715902		0.9075953					
0.89246821	0.93369866	0.72527621	0.95924336	0.92317308		0.89562402					
0.92054037	0.9268353	0.75146047	1.19360808	0.94364161		0.89991725					
0.93319923	0.91845925	0.74595297	1.05435175	0.93500159		0.88784044					
0.93275264	0.91893175	0.74049342	0.95062123	0.97462799		0.91676476					
0.93988298	0.91465469	0.72053609	1.03867783	1.00606016		0.78857137					
0.90302558	0.92754317	0.78294293	1.0738209	1.0145152		0.87444828					
0.91070909	0.92127925	0.75523949	0.84584251	0.66674825		0.8782977					
0.92166326	0.9109556	0.76190546	0.89178784	0.6514147		0.85994986					
0.910404	0.84996388	0.70261103	0.96485654	0.80067449		0.86242222					
0.90284612	0.84800538	0.72405452	0.97956036			0.82914616					
0.91095739	0.86307936	0.65610671	0.82563726			0.84739382					
1.17756035	0.80371443	0.70266503	0.84264212			0.82964056					
0.99511037	0.83645535	0.74087322	0.92184643			0.83534174					
1.0261398	0.83702094	0.77509599	0.87007422			0.83402923					
1.03869041	0.9455996	0.75712385	0.82284806			0.84735206					
1.07165281	1.00047088	0.75362939	0.88590253			0.83098478					
1.05663652	1.0054001	0.84366922	0.84331508			0.84818516					
1.04751553	0.99664434	0.77718849	0.8034979			0.90619041					
0.91846247	1.02543625	0.76968406	0.74276831			0.87647036					
0.92465999	0.99921904	0.75592803	0.78817745			0.90960741					
0.92465999	1.00707386	0.76236038	1.0464482			0.86890513					
0.83637004	0.99990152	0.78655896	1.10051456			0.86614296					
0.84283138	0.98563702	0.75458608	0.75251612			0.85470656					
0.83892468	1.00284677	0.74303556	0.54681166			0.86566848					
0.84889429	0.98111998	0.7959286	0.69608911			0.85257652					
0.84818758	1.18683818	0.7482992	0.57752568			0.86465679					
0.8442422	1.04534219	0.7319554	0.75532307			0.85202501					
0.86963303	0.99821243	0.75074364	0.56957149			0.85578217					
0.86258861	0.96813596	0.69219452	0.71355288			0.86011166					
0.86490975	1.20661407	0.76952489	0.56662031			0.86068498					
0.86208315	0.97437116	0.74068175	0.59402443			0.91150174					
0.86832184	0.94895953	0.76325425	0.81477526			0.89942361					
0.86253457	1.0234181	0.82850912	0.6278069			0.89930722					
0.86547278	0.99553775	0.8490387	0.66147345			0.88203495					
0.86221632	1.16157967	0.72029385	0.66120903			0.89323099					
0.86605835	0.98318195	0.73311839	0.66692422			0.8778383					
0.85931244	0.99507019	0.88110446	0.69659918			0.8886766					
0.85287351	1.01081884	0.79671327	0.82527342			0.87539484					
0.8450212	1.00404488	0.79671787	0.62750613			0.87702659					
0.86124999	1.17389409	0.80663659	0.65930974			0.86308805					
0.85729813	1.00624658	0.84109873	0.74864319			0.89742738					
0.86380392	1.03161234	0.84597819	0.7111591			0.87160357					
0.85806645	0.97891231	0.84896119	0.65995877			0.89680086					
0.86249053	1.0021289	0.83051876	0.59909107			0.8954439					
0.85678007	0.99998732	0.88163501	0.48120908			0.88627577					
	1.01698296	0.88184084	0.58504173			0.8938876					
	1.20759791	0.78569143	0.61801317			0.88650265					
	0.94008208	0.82465574	0.5706721			0.89546066					
	0.99564766	0.68141122	0.53928027			0.88462582					
	1.20520526	0.74600167	0.60585409			0.89006157					
	0.98700204	0.71507805	0.56188884			0.8766067					
	1.00454326	0.67160803	0.49129725			0.88348584					
	1.01724721	0.66065838	0.78601886			0.88363079					
	0.98421729	0.66538266	0.55775134			0.88574146					
	1.01603378	0.65856826	0.5758683			0.88690653					
	1.18271474	0.73185429	0.54429935			0.87898226					
	1.00088442	0.68785445	0.74174942			0.87259488					
	0.99271709	0.71977921	0.92977526			0.9088227					
	1.02601287	0.62818841				0.91354661					
	1.04647752	0.68626186				0.89934458					
	1.03077194	0.8363782				0.9210989					
	0.99553777	0.64174082				0.89652843					
	0.94724772	0.6851543				0.89295979					
	0.97760539	0.68047654				0.88998957					
	0.96656428	0.40038006				0.88234013					
	0.94560448	0.25536415				0.74748213					
	0.95075964	0.26457913				0.86416015					
	0.89176587	0.73147752				0.85695915					
	0.88282145	0.65663606				0.85310396					
		0.69348117				0.84958783					
		0.64698973				0.84732544					
		0.78728031				0.86563774					
		0.67877944				0.84715462					
		0.68767323				0.859674					
		0.67756834				0.85167151					
		0.6986468				0.87501455					
		0.66716339				0.90651372					
		0.50311459				0.90908956					
		0.80889294				0.8996336					
		0.76513762				0.87193129					
		0.76951178				0.87835105					
		0.76954665				0.89705731					
		0.66378982				0.87820955					
		0.66015459				0.88426375					
		0.79178486				0.87394065					
		0.8276477				0.88285733					
		0.81551364				0.85393435					
		0.76686932				0.87062179					
		0.8170881				0.82318516					
		0.59089393				0.86840117					
		0.69893399				0.71166899					
		0.65627167				0.81890128					
		0.83771217				0.86425838					
		0.81656762				0.82985546					
		0.74367216				0.85776234					
		0.7376527				0.64432916					
		0.73592605				0.88794186					
		0.72725201				0.89215536					
		0.81753902				0.90365528					
		0.74944024				0.89928353					
		0.63928406				0.89917234					
		0.78340238				0.88638868					
		0.83071795				0.87989578					
		0.73786481				0.75237011					
		0.76224577				0.91552025					
		0.81998458				0.86527883					
		0.80857065				0.83095783					
		0.79193289				0.86864964					
		0.81531836				0.80647496					
		0.76309964				0.84660956					
		0.68495221				0.79840667					
		0.78783009				0.83831752					
		0.78783009				0.80436171					
		0.68228074				0.69034655					
		0.79672834				0.88757808					
		0.83170568				0.85104173					
		0.73392039				0.88437987					
		0.61503577				0.8775698					
		0.85002107				0.87770831					
		0.81277472				0.90585899					
		0.80671678				0.84649172					
		0.82014337				0.895275					
		0.72073091				0.88572692					
		0.68410295				0.88913682					
		0.79801871				0.87713833					
		0.76223441				0.88702004					
		0.78271275				0.74368644					
		0.75521016				0.86137233					
		0.75588789				0.87169874					
		0.7844385				0.4040832					
		0.71256485				0.36546207					
		0.49244044				0.5754339					
		0.5033559				0.62762169					
		0.60172121				0.42997921					
		0.74955818				0.34588308					
		0.72057185				0.45211132					
		0.60710691				0.47354569					
		0.65637785				0.31879461					
		0.51696773				1.44324607					
		0.65213204				1.38849183					
		0.67332281				1.30600261					
		0.7141497				1.4745148					
		0.50172065				1.45332798					
		0.22199524				0.80221519					
		0.74150054				1.18377412					
		0.76977019				0.91493278					
		0.77128532				0.96614161					
		0.63297818				1.16339092					
		0.64698832				0.87987355					
		0.63223815				0.82348226					
		0.5983305				0.94517446					
		0.75849817				1.02861439					
		0.78536054				0.94914027					
		0.81551286				0.96081348					
		0.71564562				1.13684304					
		0.74045672				0.9516959					
		0.72049481				0.92594356					
		0.76688109				0.9866259					
		0.78426961				0.92785277					
		0.80540255				0.94739321					
		0.82941841				1.16185634					
		0.79474776				0.82665323					
		0.67405831				0.88032016					
		0.64432979				1.1801257					
		0.69158474				1.16389148					
		0.64581723				0.97356053					
		0.77138132				1.2801426					
		0.76462403				1.03834646					
		0.74575156				1.18741085					
		0.67868167				1.17635876					
		0.63372044				1.19809693					
		0.6307079				1.05905094					
		0.6961924				1.03796755					
		0.74694583				1.02977567					
		0.72293055				1.07429326					
		0.63294215				1.03446469					
		0.69142156				0.79939439					
		0.79625166				0.79012774					
		0.66470502				0.74903356					
		0.62799024				0.79044684					
		0.79065705				0.83227923					
		0.76041907				0.79817779					
		0.8122647									
		0.78274024									
		0.69090318									
		0.70122605									
		0.68208167									
		0.83520152									
		0.80289178									
		0.75894716									
		0.78674974									
		0.80486861									
		0.84129522									
		0.84039823									
		0.81452049									
		0.79703739									
		0.77006329									
		0.55225527									
		0.67197822									
		0.62767156									
		0.81379015									
		0.82263591									
		0.83042098									
		0.83004942									
		0.7114941									
		0.83359957									
		0.69183298									
		0.72682755									
		0.73490609									
		0.70673612									
		0.56682747									
		0.68503512									
		0.79267051									
		0.66861098									
		0.6370505									
		0.50938191									
		0.79227551									
		0.70892969									
		0.70856823									
		0.38200576									
		0.43285802									
		0.50395304									
		0.84563447									
		0.74447054									
		0.83180312									
		0.71347476									
		0.73237168									
		0.74642033									
		0.76227118									
		0.6799798									
